Date,SPY,QQQ,IEF,LQD,GLD
2022-12-09,374.329163,275.732178,86.135193,92.759911,167.059998
2022-12-12,379.725861,279.192932,86.011925,92.640648,165.679993
2022-12-13,382.600342,282.194336,86.786591,93.450134,168.509995
2022-12-14,380.154175,280.102203,87.024269,93.535362,168.100006
2022-12-15,370.85498,270.697327,87.193619,93.613968,165.350006
2022-12-16,366.476624,268.116364,86.973106,93.212257,166.789993
2022-12-19,363.368988,264.348297,86.267548,92.27211,166.320007
2022-12-20,363.866211,264.142639,85.641289,91.186661,169.080002
2022-12-21,369.306915,267.974274,85.747162,91.810562,168.800003
2022-12-22,364.03833,261.418243,85.720688,91.784943,166.759995
2022-12-23,366.132355,262.006256,85.332619,91.502884,167.259995
2022-12-27,364.688538,258.30191,84.618195,90.323418,168.669998
2022-12-28,360.15625,254.891586,84.415352,90.041367,167.910004
2022-12-29,366.63916,261.104645,84.82988,90.682381,168.850006
2022-12-30,365.673401,260.947876,84.477089,90.109756,169.639999
2023-01-03,364.133972,259.183899,85.138618,90.733665,171.059998
2023-01-04,366.945099,260.418671,85.79126,91.391792,172.669998
2023-01-05,362.75705,256.341949,85.667778,91.32341,170.520004
2023-01-06,371.075867,263.417358,86.770248,92.819084,173.710007
